,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.20833333,0.27840912,0.5161291,0.45718393,0.33162737,0.48134845,0.5106594,0.21657881,0.21906883,0.6566324,0.6339394,0.43278003,0.12270929,0.00019602897,0.0,0.0,0.0,0.28601074,0.6990051,0.21137899,0.009291887,0.8924606
1,0.20833333,0.6079546,0.623656,0.6047722,0.73989964,0.5227398,0.6409051,0.4265828,0.34052074,0.26258627,0.6031492,0.71296155,0.28108403,0.0,0.0091348,0.07290932,0.0,0.28601074,0.6990051,0.21137899,0.009291887,0.12546396
2,0.0,0.44886363,0.35483867,0.7141274,0.9023564,0.50201005,0.5023839,0.42644656,0.23528224,0.19495307,0.40334344,0.4459782,0.81620425,0.0,0.0,0.0,0.0031037934,0.7859955,0.53396606,1.0,0.52886987,0.98964787
3,0.45833334,0.6931819,0.71505386,0.61874187,0.7548952,0.43781668,0.63837844,0.1526511,0.2216443,0.76640314,0.8189829,0.7086459,0.8178263,0.24074619,0.05484995,0.0,0.0,0.50053406,0.5242615,0.59884477,0.09736796,0.6607444
4,0.0,0.42045462,0.655914,0.7038038,0.93584204,0.561055,0.56153244,0.39731038,0.40876043,0.82112306,0.6668027,0.48307136,0.5288729,0.055780876,0.33163095,0.00033093267,0.025486583,0.7859955,0.53396606,1.0,0.52886987,0.76918817
5,0.25000003,0.3125,0.451613,0.5834899,0.76124144,0.25447577,0.32029587,0.18611175,0.3950913,0.35607108,0.51942414,0.46099022,0.31921014,0.0,0.0,0.0005589296,0.04280186,0.6429901,0.03881836,0.0,0.0,0.18322206
6,0.6666667,0.6761364,0.71505386,0.38301268,0.72585654,0.7424969,0.62984866,0.095918685,0.6366837,0.048236996,0.32449755,0.20708293,0.115222074,0.0,0.0,0.0,0.0,0.8575134,0.8834839,0.20554194,0.11782193,0.6162648
7,0.5,0.6477274,0.6666667,0.5594089,0.63154197,0.4659378,0.6005992,0.111380816,0.18491459,0.39910978,0.71141833,0.5474746,0.6507338,0.00030308653,0.023167584,0.00045054627,0.0,0.6429901,0.83169556,0.23735353,0.509479,0.3935945
8,0.0,0.5170455,0.5645161,0.5484642,0.70722914,0.4509092,0.5407706,0.13216704,0.34008697,0.19569159,0.24461369,0.57799923,0.64769834,0.0,0.0,0.0,0.0,0.7859955,0.53396606,1.0,0.52886987,0.43550062
9,0.625,0.48295462,0.6290323,0.20636821,0.7874954,0.59824735,0.5283354,0.17277783,0.48051178,0.1469735,0.08949871,0.019674137,0.03433031,0.0,0.0,0.0,0.0,0.071502686,0.54693604,0.34966716,0.42510387,0.18812394
10,0.9166667,0.6704546,0.79569894,0.678699,0.976099,0.52808994,0.7269421,0.2984,0.30328128,0.47891524,0.88909125,0.89855886,0.5094929,0.0,0.04737846,0.03449535,0.007444653,0.4290161,0.21035767,0.01609081,0.011201449,0.70281315
11,0.9583333,0.43181825,0.63440865,0.47871366,0.8477502,0.46895903,0.47487122,0.29047742,0.2686042,0.66804487,0.29342005,0.05953439,0.39381367,0.008093237,0.00012178144,0.0,0.0,0.35751343,0.2685852,0.024632312,0.024371518,0.9074681
